table,field
Vendor,Validate EU Vat Reg. No.
Vendor,VAT Bus. Posting Group
Vendor,VAT Registration No.
Vendor,Vendor Posting Group
Vendor Ledger Entry,Accepted Payment Tolerance
Vendor Ledger Entry,Accepted Pmt. Disc. Tolerance
Vendor Ledger Entry,Adjusted Currency Factor
Vendor Ledger Entry,Amount to Apply
Vendor Ledger Entry,Applies-to Doc. No.
Vendor Ledger Entry,Applies-to Doc. Type
Vendor Ledger Entry,Applies-to Ext. Doc. No.
Vendor Ledger Entry,Applies-to ID
Vendor Ledger Entry,Applying Entry
Vendor Ledger Entry,Bal. Account No.
Vendor Ledger Entry,Bal. Account Type
Vendor Ledger Entry,Buy-from Vendor No.
Vendor Ledger Entry,Closed at Date
Vendor Ledger Entry,Closed by Amount
Vendor Ledger Entry,Closed by Amount (LCY)
Vendor Ledger Entry,Closed by Currency Amount
Vendor Ledger Entry,Closed by Currency Code
Vendor Ledger Entry,Closed by Entry No.
Vendor Ledger Entry,Creditor No.
Vendor Ledger Entry,Currency Code
Vendor Ledger Entry,Description
Vendor Ledger Entry,Dimension Set ID
Vendor Ledger Entry,Document Date
Vendor Ledger Entry,Document No.
Vendor Ledger Entry,Document Type
Vendor Ledger Entry,Due Date
Vendor Ledger Entry,Entry No.
Vendor Ledger Entry,Exported to Payment File
Vendor Ledger Entry,External Document No.
Vendor Ledger Entry,Global Dimension 1 Code
Vendor Ledger Entry,Global Dimension 2 Code
Vendor Ledger Entry,IC Partner Code
Vendor Ledger Entry,Inv. Discount (LCY)
Vendor Ledger Entry,Invoice Received Date
Vendor Ledger Entry,Journal Batch Name
Vendor Ledger Entry,Journal Templ. Name
Vendor Ledger Entry,Max. Payment Tolerance
Vendor Ledger Entry,Message to Recipient
Vendor Ledger Entry,No. Series
Vendor Ledger Entry,On Hold
Vendor Ledger Entry,Open
Vendor Ledger Entry,Orig. Pmt. Disc. Possible(LCY)
Vendor Ledger Entry,Original Currency Factor
Vendor Ledger Entry,Original Pmt. Disc. Possible
Vendor Ledger Entry,Payment Method Code
Vendor Ledger Entry,Payment Reference
Vendor Ledger Entry,Pmt. Disc. Rcd.(LCY)
Vendor Ledger Entry,Pmt. Disc. Tolerance Date
Vendor Ledger Entry,Pmt. Discount Date
Vendor Ledger Entry,Pmt. Tolerance (LCY)
Vendor Ledger Entry,Positive
Vendor Ledger Entry,Posting Date
Vendor Ledger Entry,Prepayment
Vendor Ledger Entry,Purchase (LCY)
Vendor Ledger Entry,Purchaser Code
Vendor Ledger Entry,Reason Code
Vendor Ledger Entry,Recipient Bank Account
Vendor Ledger Entry,Remaining Pmt. Disc. Possible
Vendor Ledger Entry,Remit-to Code
Vendor Ledger Entry,Reversed
Vendor Ledger Entry,Reversed by Entry No.
Vendor Ledger Entry,Reversed Entry No.
Vendor Ledger Entry,Source Code
Vendor Ledger Entry,SystemCreatedAt
Vendor Ledger Entry,SystemModifiedAt
Vendor Ledger Entry,Transaction No.
Vendor Ledger Entry,User ID
Vendor Ledger Entry,Vendor Name
Vendor Ledger Entry,Vendor No.
Vendor Ledger Entry,Vendor Posting Group
